::1 - - [19/Dec/2024:15:20:39 +0000] "GET /uploads/image-1734447890795-559010609.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:15:20:39 +0000] "GET /uploads/image-1734453419673-683818863.png HTTP/1.1" 200 113843 "-" "node"
::1 - - [19/Dec/2024:15:20:39 +0000] "GET /uploads/image-1734373132323-461983744.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:15:20:39 +0000] "GET /uploads/image-1734284252650-170860644.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:20:39 +0000] "GET /uploads/image-1734284135265-509767447.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:20:39 +0000] "GET /uploads/image-1734284290212-961968752.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:20:39 +0000] "GET /uploads/image-1734360987613-950063243.png HTTP/1.1" 200 1789750 "-" "node"
::1 - - [19/Dec/2024:15:20:39 +0000] "GET /uploads/image-1734369497216-723639326.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:15:20:39 +0000] "GET /api/category-products?page=1&limit=20&category= HTTP/1.1" 200 5021 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:15:20:39 +0000] "GET /uploads/image-1734447890795-559010609.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:15:20:39 +0000] "GET /uploads/image-1734453419673-683818863.png HTTP/1.1" 200 113843 "-" "node"
::1 - - [19/Dec/2024:15:20:39 +0000] "GET /uploads/image-1734373132323-461983744.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:15:20:39 +0000] "GET /uploads/image-1734369497216-723639326.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:15:20:39 +0000] "GET /uploads/image-1734369013413-904178410.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:20:40 +0000] "GET /uploads/image-1734284574045-794149531.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:20:40 +0000] "GET /uploads/image-1734369013413-904178410.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:20:41 +0000] "GET /uploads/image-1734368940676-165713508.jpg HTTP/1.1" 200 77648 "-" "node"
::1 - - [19/Dec/2024:15:20:41 +0000] "GET /uploads/image-1734285368923-742201412.jpg HTTP/1.1" 200 77648 "-" "node"
::1 - - [19/Dec/2024:15:20:43 +0000] "GET /api/products/279 HTTP/1.1" 200 276 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:15:20:43 +0000] "GET /uploads/image-1734285368923-742201412.jpg HTTP/1.1" 200 77648 "-" "node"
::1 - - [19/Dec/2024:15:20:46 +0000] "GET /api/top-products HTTP/1.1" 200 2486 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:15:20:46 +0000] "GET /api/categories HTTP/1.1" 200 169 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:15:20:46 +0000] "GET /api/products?limit=10 HTTP/1.1" 200 2552 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:15:20:46 +0000] "GET /api/category-products?page=1&limit=20&category= HTTP/1.1" 200 5021 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:15:20:46 +0000] "GET /uploads/image-1734368940676-165713508.jpg HTTP/1.1" 200 77648 "-" "node"
::1 - - [19/Dec/2024:15:20:48 +0000] "GET /uploads/image-1734284460485-859706903.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:20:48 +0000] "GET /uploads/image-1734360987613-950063243.png HTTP/1.1" 200 1789750 "-" "node"
::1 - - [19/Dec/2024:15:21:10 +0000] "GET /api/products?limit=12 HTTP/1.1" 200 3041 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:15:21:10 +0000] "GET /uploads/image-1734284135265-509767447.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:21:10 +0000] "GET /uploads/image-1734284290212-961968752.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:21:10 +0000] "GET /uploads/image-1734284435617-769861681.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:21:10 +0000] "GET /uploads/image-1734360739863-82485075.jpg HTTP/1.1" 200 81854 "-" "node"
::1 - - [19/Dec/2024:15:21:10 +0000] "GET /uploads/image-1734369004087-262169950.jpg HTTP/1.1" 200 82850 "-" "node"
::1 - - [19/Dec/2024:15:21:10 +0000] "GET /uploads/image-1734284574045-794149531.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:21:10 +0000] "GET /uploads/image-1734364950805-783239884.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:21:10 +0000] "GET /uploads/image-1734442273274-679797908.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:15:21:10 +0000] "GET /uploads/image-1734372286132-356866472.jpg HTTP/1.1" 200 43728 "-" "node"
::1 - - [19/Dec/2024:15:21:10 +0000] "GET /uploads/image-1734369272226-152844924.jpg HTTP/1.1" 200 211476 "-" "node"
::1 - - [19/Dec/2024:15:21:10 +0000] "GET /uploads/image-1734453323691-299220358.jpg HTTP/1.1" 200 86252 "-" "node"
::1 - - [19/Dec/2024:15:21:10 +0000] "GET /uploads/image-1734532166191-140283467.jpg HTTP/1.1" 200 176927 "-" "node"
::1 - - [19/Dec/2024:15:21:14 +0000] "GET /api/products/210 HTTP/1.1" 200 275 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:15:21:15 +0000] "GET /api/products?limit=12 HTTP/1.1" 200 3041 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:15:21:38 +0000] "GET /api/products/204 HTTP/1.1" 200 275 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:15:21:39 +0000] "GET /api/products?limit=12 HTTP/1.1" 200 3041 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:15:21:50 +0000] "GET /api/top-products HTTP/1.1" 200 2486 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:15:21:50 +0000] "GET /api/products?limit=10 HTTP/1.1" 200 2552 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:15:21:50 +0000] "GET /api/categories HTTP/1.1" 200 169 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:15:21:50 +0000] "GET /api/category-products?page=1&limit=20&category= HTTP/1.1" 200 5021 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:15:21:51 +0000] "GET /uploads/image-1734284252650-170860644.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:21:51 +0000] "GET /uploads/image-1734284135265-509767447.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:21:51 +0000] "GET /uploads/image-1734284290212-961968752.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:21:51 +0000] "GET /uploads/image-1734284574045-794149531.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:21:51 +0000] "GET /uploads/image-1734447890795-559010609.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:15:21:51 +0000] "GET /uploads/image-1734373132323-461983744.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:15:21:51 +0000] "GET /uploads/image-1734369497216-723639326.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:15:21:51 +0000] "GET /uploads/image-1734453419673-683818863.png HTTP/1.1" 200 113843 "-" "node"
::1 - - [19/Dec/2024:15:21:51 +0000] "GET /uploads/image-1734453419673-683818863.png HTTP/1.1" 200 113843 "-" "node"
::1 - - [19/Dec/2024:15:21:51 +0000] "GET /uploads/image-1734447890795-559010609.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:15:21:51 +0000] "GET /uploads/image-1734373132323-461983744.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:15:21:51 +0000] "GET /uploads/image-1734369497216-723639326.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:15:21:51 +0000] "GET /uploads/image-1734360987613-950063243.png HTTP/1.1" 200 1789750 "-" "node"
::1 - - [19/Dec/2024:15:21:51 +0000] "GET /uploads/image-1734285368923-742201412.jpg HTTP/1.1" 200 77648 "-" "node"
::1 - - [19/Dec/2024:15:21:52 +0000] "GET /uploads/image-1734369013413-904178410.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:21:52 +0000] "GET /uploads/image-1734368940676-165713508.jpg HTTP/1.1" 200 77648 "-" "node"
::1 - - [19/Dec/2024:15:21:54 +0000] "GET /uploads/image-1734369013413-904178410.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:21:54 +0000] "GET /uploads/image-1734368940676-165713508.jpg HTTP/1.1" 200 77648 "-" "node"
::1 - - [19/Dec/2024:15:21:54 +0000] "GET /uploads/image-1734360987613-950063243.png HTTP/1.1" 200 1789750 "-" "node"
::1 - - [19/Dec/2024:15:21:54 +0000] "GET /uploads/image-1734285368923-742201412.jpg HTTP/1.1" 200 77648 "-" "node"
::1 - - [19/Dec/2024:15:21:54 +0000] "GET /uploads/image-1734284460485-859706903.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:21:54 +0000] "GET /uploads/image-1734284304394-171721024.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:21:54 +0000] "GET /uploads/image-1734284174394-295897489.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:21:54 +0000] "GET /uploads/image-1734454344471-327032196.jpg HTTP/1.1" 200 358262 "-" "node"
::1 - - [19/Dec/2024:15:21:54 +0000] "GET /uploads/image-1734447963446-999382934.jpg HTTP/1.1" 200 30516 "-" "node"
::1 - - [19/Dec/2024:15:21:55 +0000] "GET /uploads/image-1734375516655-250017751.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:15:21:55 +0000] "GET /uploads/image-1734369878487-852219801.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:15:21:55 +0000] "GET /uploads/image-1734369166565-374496589.jpg HTTP/1.1" 200 66381 "-" "node"
::1 - - [19/Dec/2024:15:21:55 +0000] "GET /uploads/image-1734368953359-598121147.jpg HTTP/1.1" 200 113427 "-" "node"
::1 - - [19/Dec/2024:15:21:56 +0000] "GET /uploads/image-1734284460485-859706903.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:22:52 +0000] "GET /api/products/285 HTTP/1.1" 200 276 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:22:52 +0000] "GET /uploads/image-1734368940676-165713508.jpg HTTP/1.1" 200 77648 "-" "node"
::1 - - [19/Dec/2024:15:22:54 +0000] "GET /api/top-products HTTP/1.1" 200 2486 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:22:54 +0000] "GET /api/categories HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:22:54 +0000] "GET /api/products?limit=10 HTTP/1.1" 200 2552 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:22:54 +0000] "GET /api/category-products?page=1&limit=20&category= HTTP/1.1" 200 5021 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:22:54 +0000] "GET /uploads/image-1734284252650-170860644.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:22:54 +0000] "GET /uploads/image-1734447890795-559010609.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:15:22:54 +0000] "GET /uploads/image-1734373132323-461983744.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:15:22:54 +0000] "GET /uploads/image-1734284135265-509767447.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:22:54 +0000] "GET /uploads/image-1734284574045-794149531.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:22:54 +0000] "GET /uploads/image-1734284290212-961968752.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:22:54 +0000] "GET /uploads/image-1734369497216-723639326.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:15:22:54 +0000] "GET /uploads/image-1734447890795-559010609.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:15:22:54 +0000] "GET /uploads/image-1734373132323-461983744.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:15:22:54 +0000] "GET /uploads/image-1734369497216-723639326.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:15:22:54 +0000] "GET /uploads/image-1734453419673-683818863.png HTTP/1.1" 200 113843 "-" "node"
::1 - - [19/Dec/2024:15:22:54 +0000] "GET /uploads/image-1734453419673-683818863.png HTTP/1.1" 200 113843 "-" "node"
::1 - - [19/Dec/2024:15:23:33 +0000] "GET /uploads/image-1734369013413-904178410.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:23:33 +0000] "GET /uploads/image-1734368940676-165713508.jpg HTTP/1.1" 200 77648 "-" "node"
::1 - - [19/Dec/2024:15:23:39 +0000] "GET /api/products/288 HTTP/1.1" 200 276 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:23:40 +0000] "GET /uploads/image-1734369013413-904178410.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:23:41 +0000] "GET /api/top-products HTTP/1.1" 200 2486 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:23:41 +0000] "GET /api/categories HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:23:41 +0000] "GET /api/products?limit=10 HTTP/1.1" 200 2552 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:23:41 +0000] "GET /api/category-products?page=1&limit=20&category= HTTP/1.1" 200 5021 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:23:42 +0000] "GET /uploads/image-1734360987613-950063243.png HTTP/1.1" 200 1789750 "-" "node"
::1 - - [19/Dec/2024:15:23:42 +0000] "GET /uploads/image-1734285368923-742201412.jpg HTTP/1.1" 200 77648 "-" "node"
::1 - - [19/Dec/2024:15:23:45 +0000] "GET /uploads/image-1734284304394-171721024.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:23:51 +0000] "GET /uploads/image-1734284460485-859706903.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:23:51 +0000] "GET /uploads/image-1734284304394-171721024.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:23:51 +0000] "GET /uploads/image-1734284174394-295897489.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:23:51 +0000] "GET /uploads/image-1734454344471-327032196.jpg HTTP/1.1" 200 358262 "-" "node"
::1 - - [19/Dec/2024:15:23:53 +0000] "GET /api/category-products?page=1&limit=20&category=13 HTTP/1.1" 200 4894 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:23:53 +0000] "GET /uploads/image-1734284531097-148798972.jpg HTTP/1.1" 200 268613 "-" "node"
::1 - - [19/Dec/2024:15:23:53 +0000] "GET /uploads/image-1734368953359-598121147.jpg HTTP/1.1" 200 113427 "-" "node"
::1 - - [19/Dec/2024:15:23:53 +0000] "GET /uploads/image-1734375516655-250017751.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:15:23:53 +0000] "GET /uploads/image-1734369166565-374496589.jpg HTTP/1.1" 200 66381 "-" "node"
::1 - - [19/Dec/2024:15:23:53 +0000] "GET /uploads/image-1734369878487-852219801.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:15:23:53 +0000] "GET /uploads/image-1734364804918-409280823.jpg HTTP/1.1" 200 82850 "-" "node"
::1 - - [19/Dec/2024:15:23:53 +0000] "GET /uploads/image-1734285980635-656111299.jpg HTTP/1.1" 200 83109 "-" "node"
::1 - - [19/Dec/2024:15:23:53 +0000] "GET /uploads/image-1734284360687-168318644.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:23:53 +0000] "GET /uploads/image-1734284252650-170860644.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:23:53 +0000] "GET /uploads/image-1734447963446-999382934.jpg HTTP/1.1" 200 30516 "-" "node"
::1 - - [19/Dec/2024:15:23:59 +0000] "GET /api/products/227 HTTP/1.1" 200 269 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:23:59 +0000] "GET /uploads/image-1734375516655-250017751.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:15:24:01 +0000] "GET /api/top-products HTTP/1.1" 200 2479 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:24:01 +0000] "GET /api/categories HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:24:01 +0000] "GET /api/products?limit=10 HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:24:01 +0000] "GET /api/category-products?page=1&limit=20&category= HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:24:01 +0000] "GET /uploads/image-1734453419673-683818863.png HTTP/1.1" 200 113843 "-" "node"
::1 - - [19/Dec/2024:15:24:01 +0000] "GET /uploads/image-1734447890795-559010609.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:15:33:09 +0000] "GET /api/products?limit=12 HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:33:09 +0000] "GET /uploads/image-1734360739863-82485075.jpg HTTP/1.1" 200 81854 "-" "node"
::1 - - [19/Dec/2024:15:33:09 +0000] "GET /uploads/image-1734284135265-509767447.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:33:09 +0000] "GET /uploads/image-1734284290212-961968752.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:33:09 +0000] "GET /uploads/image-1734284435617-769861681.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:33:09 +0000] "GET /uploads/image-1734284574045-794149531.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:33:09 +0000] "GET /uploads/image-1734372286132-356866472.jpg HTTP/1.1" 200 43728 "-" "node"
::1 - - [19/Dec/2024:15:33:09 +0000] "GET /uploads/image-1734369004087-262169950.jpg HTTP/1.1" 200 82850 "-" "node"
::1 - - [19/Dec/2024:15:33:09 +0000] "GET /uploads/image-1734369272226-152844924.jpg HTTP/1.1" 200 211476 "-" "node"
::1 - - [19/Dec/2024:15:33:09 +0000] "GET /uploads/image-1734364950805-783239884.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:33:09 +0000] "GET /uploads/image-1734442273274-679797908.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:15:33:09 +0000] "GET /uploads/image-1734453323691-299220358.jpg HTTP/1.1" 200 86252 "-" "node"
::1 - - [19/Dec/2024:15:33:09 +0000] "GET /uploads/image-1734532166191-140283467.jpg HTTP/1.1" 200 176927 "-" "node"
::1 - - [19/Dec/2024:15:36:41 +0000] "OPTIONS /api/verify HTTP/1.1" 204 0 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:36:41 +0000] "POST /api/verify HTTP/1.1" 200 44 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:36:42 +0000] "GET /api/products?limit=12 HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:36:49 +0000] "GET /api/products?limit=12 HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:37:41 +0000] "GET /api/products?limit=12 HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:38:07 +0000] "GET /api/products?limit=12 HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:39:20 +0000] "GET /api/products?limit=12 HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:39:45 +0000] "GET /api/products?limit=12 HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:40:26 +0000] "GET /api/products?limit=12 HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:40:56 +0000] "GET /api/products?limit=12 HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:41:42 +0000] "GET /api/products?limit=12 HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:41:42 +0000] "GET /uploads/image-1734284135265-509767447.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:41:42 +0000] "GET /uploads/image-1734360739863-82485075.jpg HTTP/1.1" 200 81854 "-" "node"
